sample,date,sample_type,ribo_depleted
12-05-BST-deplete,2023-12-05,BST,TRUE
12-05-BST-nodeplete,2023-12-05,BST,FALSE
12-05-DCS-deplete,2023-12-05,DCS,TRUE
12-05-DCS-nodeplete,2023-12-05,DCS,FALSE
12-05-DNI-deplete,2023-12-05,DNI,TRUE
12-05-DNI-nodeplete,2023-12-05,DNI,FALSE
12-05-DSI-deplete,2023-12-05,DSI,TRUE
12-05-DSI-nodeplete,2023-12-05,DSI,FALSE
12-08-BST-deplete,2023-12-08,BST,TRUE
12-08-BST-nodeplete,2023-12-08,BST,FALSE
12-08-DCS-deplete,2023-12-08,DCS,TRUE
12-08-DCS-nodeplete,2023-12-08,DCS,FALSE
12-08-DNI-deplete,2023-12-08,DNI,TRUE
12-08-DNI-nodeplete,2023-12-08,DNI,FALSE
12-08-DSI-deplete,2023-12-08,DSI,TRUE
12-08-DSI-nodeplete,2023-12-08,DSI,FALSE
12-12-BST-deplete,2023-12-12,BST,TRUE
12-12-BST-nodeplete,2023-12-12,BST,FALSE
12-12-DCS-deplete,2023-12-12,DCS,TRUE
12-12-DCS-nodeplete,2023-12-12,DCS,FALSE
12-12-DNI-deplete,2023-12-12,DNI,TRUE
12-12-DNI-nodeplete,2023-12-12,DNI,FALSE
12-12-DSI-deplete,2023-12-12,DSI,TRUE
12-12-DSI-nodeplete,2023-12-12,DSI,FALSE
12-15-BST-deplete,2023-12-15,BST,TRUE
12-15-BST-nodeplete,2023-12-15,BST,FALSE
12-15-DCS-deplete,2023-12-15,DCS,TRUE
12-15-DCS-nodeplete,2023-12-15,DCS,FALSE
12-15-DNI-deplete,2023-12-15,DNI,TRUE
12-15-DNI-nodeplete,2023-12-15,DNI,FALSE
12-15-DSI-deplete,2023-12-15,DSI,TRUE
12-15-DSI-nodeplete,2023-12-15,DSI,FALSE